Location Code,Name,City,State,Country,Zipcode,Color,Description
ef1b3b26b2e4375f129c14973e8e83e6,Cedar Rapids,Cedar Rapids,Iowa,United States,,red,
3d5506c1e37fa5b0fa4d6dfcaf7eaaa5,Grundy Center,Grundy Center,Iowa,United States,50638,red,Felix Grundy Days
5cd955d0fc3ddc80c4dd1bb28e2cf92c,St. Cloud,St. Cloud,Minnesota,United States,,red,
b41f320660cd7fe482c5a5f4db42777c,St. Louis,St. Louis,Missouri,United States,,red,"Mary Jo's
Bridget & Yusuf's Wedding"
ef2a7509692bee1251254ba930f618cb,Arenal Volcano,San Carlos,,Costa Rica,,red,
91fe375c7c16eec5f1ca31e83f46a648,Zarcero,Zarcero,,Costa Rica,,red,
88be93794aad70e87036d9c175f3eadf,Manuel Antonio National Park,Manuel Antonio National Park,,Costa Rica,,red,
85baf89febaf74f116e3e443dc7cfb99,Des Moines,Des Moines,Iowa,United States,,red,
7911427f4bf0c76426be33a432c7afca,Chicago,Chicago,Illinois,United States,,red,
900ac91674e16f38e985b95c0bb861f7,Abu Dhabi,Abu Dhabi,,United Arab Emirates,,red,
f2a4a0d63ba66aa9471ca456e0f530e1,Prague,Prague,,Czech Republic,,red,
151febde7f5c0b2aa5707be4b3cc3641,Vienna,Vienna,,Austria,,red,
bb49880afe4d3041f974c90b7bd7a583,Budapest,Budapest,,Hungary,,red,
f1e67d9aa026296108363a827f74bf2d,Rome,Rome,Lazio,Italy,,red,
d246d553687fa40a1c8c353cf488aa7d,Vatican City,Vatican City,,Vatican City,120,red,
5f496f1683c111bcb49de0a8d90a8d2a,Sorrento,Sorrento,Campania,Italy,80067,red,
a2015161efb90c87d74a326158546e29,Naples,Naples,Campania,Italy,,red,
37f266362bf0b6e2fc8e341ba0bbfcec,Florence,Florence,,Italy,,red,
800dfec78d3719001860e24067f0d2da,Venice,Venice,Veneto,Italy,,red,
153f2eb4fa3720ebd3519fa759cb6e11,Verona,Verona,Veneto,Italy,,red,
0f243625873ced1888406533500df1db,Burano,Burano,Veneto,Italy,30142,red,
5b2490eae8169e9dcfba7ae2cec033cf,Cinque Terre Point,Levanto,Liguria,Italy,19015,red,
13f72476bdc918cf809849c6761d0924,Capri,Capri,Campania,Italy,,red,
d30542b065df4a8fa6b5ccc99fd3b3c2,Hanoi,Hanoi,,Vietnam,,red,
af43d8651c1cf2fc2fd72efd53a7d938,Hội An,Hoi An,,Vietnam,,red,
3d70b317a07c30a0832f34f373a23147,Hue,Hue,,Vietnam,,red,
749bc5cb4f2cb42e4cc3831a3c1eae17,Da Nang,Da Nang,Da Nang,Vietnam,,red,
560c21604a045238d7f469fe958f80cc,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh,Vietnam,,red,
f969e5f9ddd126cdd1c19700504b506b,Củ Chi Tunnels,Cu Chi,,Vietnam,733814,red,
5148ec0b631164e8e56507c1d259588a,Indianapolis,Indianapolis,Indiana,United States,,red,
9e768210c639d6c22208b798c29712dd,Louisville,Louisville,Kentucky,United States,,red,Derek's Family
0960da2358de27d55528d9c6601ec753,Bardstown,Bardstown,Kentucky,United States,40004,red,Bardstown Farmers Market
0bc1ee0b4425425e65bc9b4a06b9ebd9,Elizabethtown,Elizabethtown,Kentucky,United States,,red,Dori's House
09dafbcf22f0cf7972ae9ee188d8f111,Lima - Miraflores,Miraflores,,Peru,,red,
47373b2e7c777514843156d81ccc551c,Arequipa,Arequipa,Arequipa,Peru,,red,
e63a3b684c6d6cb8d4c2d00fdd5d450e,Colca Canyon,Chivay,Arequipa,Peru,,red,
c662d97bc9bca05559d06de5dc1f62de,Machu Picchu,Urubamba Province,Cusco,Peru,,red,
0f164411cd41003889d5f19590a736b3,Cusco,Cusco,Cusco,Peru,,red,
42e8521964af5e7660c771698f0d2523,Vinicunca Rainbow Mountain,,,Peru,,red,
5f1a84a5cc963a1651f3d23dcba46132,Dubai,Dubai,,United Arab Emirates,,red,Skydiving!
aafde5a70a2c09211918b1e28f3089e0,Maker's Mark Distillery,Loretto,Kentucky,United States,40037,red,
4dc56adf19d9e27a3b6411d97d2f4e58,San José,San Jose,,Costa Rica,,red,
