Name,latitude,longitude,,Name,latitude,longitude
dm,41.5910641,-93.6037149,,sj,9.927128,-84.082012
dm,41.5910641,-93.6037149,,Dubai,25.2683521,55.2961962
Chicago,41.8755546,-87.6244212,,Prague,50.0874654,14.4212535
Budapest,47.4983815,19.0404707,,Rome,41.8933203,12.4829321
Rome,41.8933203,12.4829321,,Chicago,41.8755546,-87.6244212
ad,24.4736758,54.3750393,,Prague,50.0874654,14.4212535
Rome,41.8933203,12.4829321,,ad,24.4736758,54.3750393
Chicago,41.8755546,-87.6244212,,Hanoi,21.0292095,105.85247
Hanoi,21.0292095,105.85247,,Hue,16.4690912,107.5777611
dn,16.0679814,108.2119396,,hcmc,10.7758439,106.7017555
hcmc,10.7758439,106.7017555,,Chicago,41.8755546,-87.6244212
ad,24.4736758,54.3750393,,Hanoi,21.0292095,105.85247
hcmc,10.7758439,106.7017555,,ad,24.4736758,54.3750393
Chicago,41.8755546,-87.6244212,,lima,-12.12149805,-77.02590642
lima,-12.12149805,-77.02590642,,Arequipa,-16.3988645,-71.5369607
Cusco,-13.525,-71.972222,,lima,-12.12149805,-77.02590642
lima,-12.12149805,-77.02590642,,Chicago,41.8755546,-87.6244212
Chicago,41.8755546,-87.6244212,,ad,24.4736758,54.3750393
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
