Name,Latitude,Longitude
Cedar Rapids,41.9758872,-91.6704053
Cedar Rapids,41.9758872,-91.6704053
Grundy Center,42.3616501,-92.7685327
Grundy Center,42.3616501,-92.7685327
Cedar Rapids,41.9758872,-91.6704053
Cedar Rapids,41.9758872,-91.6704053
Cedar Rapids,41.9758872,-91.6704053
Indianapolis,39.7683331,-86.1583502
Louisville,38.2542376,-85.759407
Elizabethtown,37.693952,-85.8591285
Maker's Mark,37.6353404,-85.4007952
Arenal Volcano,10.6204181,-84.42574668
Arequipa,-16.3988645,-71.5369607
Cinque Terre,44.1699056,9.6120397
Cusco,-13.525,-71.972222
Cusco,-13.525,-71.972222
Dubai,25.2683521,55.2961962
Florence,43.7698712,11.2555757
Ho Chi Minh City,10.7758439,106.7017555
Hoi An,15.8793816,108.3273966
Hue,16.4690912,107.5777611
Lima - Miraflores,-12.12149805,-77.02590642
Manuel Antonio,9.38650965,-84.13887755
Milan,45.464204,9.189982
Naples,40.8359336,14.2487826
Prague,50.0874654,14.4212535
Rome,41.8933203,12.4829321
Rome,41.8933203,12.4829321
San José,9.927128,-84.082012
Sorrento,40.624906,14.374836
Venice,45.4371908,12.3345898
Verona,45.4384958,10.9924122
Vienna,48.2083537,16.3725042
Zarcero,10.21859085,-84.40948351
